epoch,step,train_loss,train_rmse_epoch,train_rmse_step
0,0,,,7.512890338897705
0,1,,,5.557619571685791
0,1,46.922515869140625,6.784456253051758,
1,2,,,5.490223407745361
1,3,,,5.668675422668457
1,3,30.88442039489746,5.556705474853516,
2,4,,,4.188729286193848
2,5,,,4.801355361938477
2,5,19.5972900390625,4.416962623596191,
3,6,,,4.290929317474365
3,7,,,3.5729386806488037
3,7,16.30859375,4.02344274520874,
4,8,,,4.01729679107666
4,9,,,3.957064151763916
4,9,15.959731101989746,3.9948570728302,
