epoch,step,test_loss,test_rmse,train_loss,train_rmse_epoch,train_rmse_step,valid_loss,valid_rmse
0,4,,,,,10.274190902709961,,
0,6,,,,,,134.29579162597656,11.588605880737305
0,6,,,116.60292053222656,10.748369216918945,,,
1,9,,,,,9.327178001403809,,
1,13,,,,,,133.78274536132812,11.566449165344238
1,13,,,116.1463394165039,10.696629524230957,,,
2,14,,,,,10.553849220275879,,
2,19,,,,,10.371298789978027,,
2,20,,,,,,133.2479248046875,11.543306350708008
2,20,,,115.68270111083984,10.714707374572754,,,
3,24,,,,,10.299408912658691,,
3,27,,,,,,132.6630859375,11.517946243286133
3,27,,,115.18499755859375,10.703518867492676,,,
4,29,,,,,11.014348030090332,,
4,34,,,,,3.6001088619232178,,
4,34,,,,,,131.9774932861328,11.48814582824707
4,34,,,114.61666870117188,10.611435890197754,,,
5,39,,,,,9.298794746398926,,
5,41,,,,,,131.13014221191406,11.451207160949707
5,41,,,113.96617889404297,10.626134872436523,,,
6,44,,,,,10.414290428161621,,
6,48,,,,,,130.0510711669922,11.403993606567383
6,48,,,113.12850189208984,10.62200927734375,,,
7,49,,,,,10.46341323852539,,
7,54,,,,,9.265294075012207,,
7,55,,,,,,128.63250732421875,11.34162712097168
7,55,,,111.98680114746094,10.53320026397705,,,
8,59,,,,,11.367061614990234,,
8,62,,,,,,126.8273696899414,11.261765480041504
8,62,,,110.55450439453125,10.482965469360352,,,
9,64,,,,,10.334029197692871,,
9,69,,,,,5.284186363220215,,
9,69,,,,,,124.76934051513672,11.17002010345459
9,69,,,108.78438568115234,10.374565124511719,,,
10,74,,,,,11.096049308776855,,
10,76,,,,,,122.38754272460938,11.06289005279541
10,76,,,106.67904663085938,10.300650596618652,,,
11,79,,,,,10.783024787902832,,
11,83,,,,,,119.53631591796875,10.933266639709473
11,83,,,104.29376983642578,10.16650104522705,,,
12,84,,,,,10.461716651916504,,
12,89,,,,,9.547526359558105,,
12,90,,,,,,116.27035522460938,10.782873153686523
12,90,,,101.43402099609375,10.063865661621094,,,
13,94,,,,,9.72208309173584,,
13,97,,,,,,112.53656768798828,10.608325004577637
13,97,,,98.22145080566406,9.90743350982666,,,
14,99,,,,,8.524178504943848,,
14,104,,,,,5.3590168952941895,,
14,104,,,,,,108.20093536376953,10.401968002319336
14,104,,,94.31978607177734,9.662735939025879,,,
15,109,,,,,9.979961395263672,,
15,111,,,,,,103.06008911132812,10.151851654052734
15,111,,,89.99913024902344,9.458622932434082,,,
16,114,,,,,9.292960166931152,,
16,118,,,,,,97.38948822021484,9.868611335754395
16,118,,,84.90406036376953,9.120707511901855,,,
17,119,,,,,7.517399787902832,,
17,124,,,,,9.140960693359375,,
17,125,,,,,,91.31119537353516,9.555688858032227
17,125,,,79.29336547851562,8.845293045043945,,,
18,129,,,,,8.057601928710938,,
18,132,,,,,,84.55036926269531,9.195127487182617
18,132,,,73.24254608154297,8.518765449523926,,,
19,134,,,,,8.789501190185547,,
19,139,,,,,3.7162113189697266,,
19,139,,,,,,77.8310775756836,8.822192192077637
19,139,,,66.76695251464844,8.106181144714355,,,
20,144,,,,,8.116545677185059,,
20,146,,,,,,70.7670669555664,8.41231632232666
20,146,,,60.136024475097656,7.719873905181885,,,
21,149,,,,,7.266096591949463,,
21,153,,,,,,63.64891052246094,7.978026866912842
21,153,,,53.31264114379883,7.266489505767822,,,
22,154,,,,,7.223876953125,,
22,159,,,,,6.444135665893555,,
22,160,,,,,,56.756526947021484,7.533692836761475
22,160,,,46.60109329223633,6.8158488273620605,,,
23,164,,,,,5.966783046722412,,
23,167,,,,,,50.124019622802734,7.079832077026367
23,167,,,40.174652099609375,6.312232971191406,,,
24,169,,,,,5.6555495262146,,
24,174,,,,,4.4503021240234375,,
24,174,,,,,,44.66159439086914,6.6829328536987305
24,174,,,34.136512756347656,5.813949108123779,,,
25,179,,,,,5.180262565612793,,
25,181,,,,,,40.350276947021484,6.352186679840088
25,181,,,29.510894775390625,5.42003870010376,,,
26,184,,,,,5.163000106811523,,
26,188,,,,,,37.452110290527344,6.119812965393066
26,188,,,26.162200927734375,5.0847578048706055,,,
27,189,,,,,4.807686805725098,,
27,194,,,,,4.631134510040283,,
27,195,,,,,,35.559322357177734,5.96316385269165
27,195,,,24.27394676208496,4.919362545013428,,,
28,199,,,,,4.003694534301758,,
28,202,,,,,,34.20003890991211,5.848080158233643
28,202,,,23.21561050415039,4.790013313293457,,,
29,204,,,,,5.147213459014893,,
29,209,,,,,6.52372932434082,,
29,209,,,,,,33.389408111572266,5.778357028961182
29,209,,,22.634782791137695,4.747010707855225,,,
30,214,,,,,5.279677391052246,,
30,216,,,,,,32.90739440917969,5.736496925354004
30,216,,,22.32129669189453,4.694493293762207,,,
31,219,,,,,4.984525203704834,,
31,223,,,,,,32.41708755493164,5.693600654602051
31,223,,,22.036041259765625,4.657458782196045,,,
32,224,,,,,4.411839008331299,,
32,229,,,,,5.089485168457031,,
32,230,,,,,,32.15867233276367,5.670861721038818
32,230,,,21.83574867248535,4.66579532623291,,,
33,234,,,,,4.652139186859131,,
33,237,,,,,,31.99346923828125,5.656277179718018
33,237,,,21.646501541137695,4.628328323364258,,,
34,239,,,,,3.3562278747558594,,
34,244,,,,,5.079765796661377,,
34,244,,,,,,31.6340389251709,5.624414443969727
34,244,,,21.475189208984375,4.549041748046875,,,
35,249,,,,,5.263079643249512,,
35,251,,,,,,31.0245304107666,5.569966793060303
35,251,,,21.212007522583008,4.5553364753723145,,,
36,254,,,,,5.19433069229126,,
36,258,,,,,,30.421401977539062,5.515560150146484
36,258,,,20.909440994262695,4.545107841491699,,,
37,259,,,,,5.496859073638916,,
37,264,,,,,5.067106246948242,,
37,265,,,,,,29.975950241088867,5.475029468536377
37,265,,,20.71703338623047,4.483747482299805,,,
38,269,,,,,5.535262584686279,,
38,272,,,,,,29.566991806030273,5.437553882598877
38,272,,,20.47544288635254,4.474569797515869,,,
39,274,,,,,5.417947292327881,,
39,279,,,,,2.682494640350342,,
39,279,,,,,,29.29376792907715,5.412371635437012
39,279,,,20.387062072753906,4.48978328704834,,,
40,284,,,,,5.4117279052734375,,
40,286,,,,,,29.08164405822754,5.392739772796631
40,286,,,20.28391456604004,4.478629112243652,,,
41,289,,,,,4.1019744873046875,,
41,293,,,,,,28.90778923034668,5.376596450805664
41,293,,,20.05130958557129,4.462160587310791,,,
42,294,,,,,4.306332588195801,,
42,299,,,,,5.307339668273926,,
42,300,,,,,,28.87824249267578,5.373847961425781
42,300,,,19.993492126464844,4.407343864440918,,,
43,304,,,,,4.080678462982178,,
43,307,,,,,,28.650365829467773,5.352603435516357
43,307,,,19.879140853881836,4.441860675811768,,,
44,309,,,,,3.9796621799468994,,
44,314,,,,,7.318795204162598,,
44,314,,,,,,28.503026962280273,5.338822841644287
44,314,,,19.814613342285156,4.418140888214111,,,
45,319,,,,,4.454564094543457,,
45,321,,,,,,27.901060104370117,5.2821455001831055
45,321,,,19.67168617248535,4.424210071563721,,,
46,324,,,,,3.8572378158569336,,
46,328,,,,,,27.437196731567383,5.238052845001221
46,328,,,19.57406234741211,4.396528720855713,,,
47,329,,,,,3.410254716873169,,
47,334,,,,,4.390751838684082,,
47,335,,,,,,27.15704345703125,5.211242198944092
47,335,,,19.46982192993164,4.339645862579346,,,
48,339,,,,,5.120140552520752,,
48,342,,,,,,26.99525260925293,5.195695400238037
48,342,,,19.384618759155273,4.333421230316162,,,
49,344,,,,,4.5169997215271,,
49,349,,,,,0.9909439086914062,,
49,349,,,,,,26.86847496032715,5.183480739593506
49,349,,,19.25337791442871,4.344666957855225,,,
50,354,,,,,4.938991546630859,,
50,356,,,,,,26.70819091796875,5.167996883392334
50,356,,,19.184789657592773,4.358741760253906,,,
51,359,,,,,4.827715873718262,,
51,363,,,,,,26.574752807617188,5.155070781707764
51,363,,,19.122526168823242,4.355400562286377,,,
52,364,,,,,4.29077672958374,,
52,369,,,,,5.139232158660889,,
52,370,,,,,,26.429170608520508,5.140931129455566
52,370,,,19.069000244140625,4.341495037078857,,,
53,374,,,,,4.815186977386475,,
53,377,,,,,,26.05133819580078,5.104051113128662
53,377,,,19.024085998535156,4.324364185333252,,,
54,379,,,,,4.215424537658691,,
54,384,,,,,0.9149942398071289,,
54,384,,,,,,25.828275680541992,5.082152843475342
54,384,,,18.993175506591797,4.329700469970703,,,
55,389,,,,,4.640170574188232,,
55,391,,,,,,25.663686752319336,5.065934181213379
55,391,,,18.926788330078125,4.316840171813965,,,
56,394,,,,,4.437798500061035,,
56,398,,,,,,25.60179901123047,5.059822082519531
56,398,,,18.855777740478516,4.293331146240234,,,
57,399,,,,,4.3587727546691895,,
57,404,,,,,3.922663927078247,,
57,405,,,,,,25.53254508972168,5.052973747253418
57,405,,,18.78331756591797,4.318375587463379,,,
58,409,,,,,4.702060699462891,,
58,412,,,,,,25.525644302368164,5.052290916442871
58,412,,,18.725717544555664,4.26764440536499,,,
59,414,,,,,4.5249762535095215,,
59,419,,,,,1.0149612426757812,,
59,419,,,,,,25.39178466796875,5.039026260375977
59,419,,,18.694744110107422,4.309301376342773,,,
60,424,,,,,3.169501543045044,,
60,426,,,,,,25.247587203979492,5.024697780609131
60,426,,,18.606613159179688,4.212435245513916,,,
61,429,,,,,3.7938144207000732,,
61,433,,,,,,25.100004196166992,5.009990215301514
61,433,,,18.563819885253906,4.294471740722656,,,
62,434,,,,,3.9909846782684326,,
62,439,,,,,4.409068584442139,,
62,440,,,,,,25.02215003967285,5.002214431762695
62,440,,,18.55813980102539,4.290655612945557,,,
63,444,,,,,3.8632802963256836,,
63,447,,,,,,24.978254318237305,4.9978251457214355
63,447,,,18.52375602722168,4.2752227783203125,,,
64,449,,,,,4.897084712982178,,
64,454,,,,,3.1561803817749023,,
64,454,,,,,,25.041526794433594,5.004150867462158
64,454,,,18.47598648071289,4.274942398071289,,,
65,459,,,,,3.4854681491851807,,
65,461,,,,,,25.19646453857422,5.019608020782471
65,461,,,18.516794204711914,4.271199703216553,,,
66,464,,,,,4.345668792724609,,
66,468,,,,,,25.08669090270996,5.00866174697876
66,468,,,18.429615020751953,4.243971824645996,,,
67,469,,,,,4.675981521606445,,
67,474,,,,,4.361088275909424,,
67,475,,,,,,24.8896541595459,4.988953113555908
67,475,,,18.365198135375977,4.267704486846924,,,
68,479,,,,,4.929198741912842,,
68,482,,,,,,24.728769302368164,4.972803115844727
68,482,,,18.352108001708984,4.22722053527832,,,
69,484,,,,,3.722304344177246,,
69,489,,,,,0.7629795074462891,,
69,489,,,,,,24.7880802154541,4.978763103485107
69,489,,,18.281938552856445,4.240693092346191,,,
70,494,,,,,4.1387224197387695,,
70,496,,,,,,24.77509880065918,4.977458953857422
70,496,,,18.264789581298828,4.264988899230957,,,
71,499,,,,,3.7534968852996826,,
71,503,,,,,,24.768068313598633,4.976752758026123
71,503,,,18.194242477416992,4.213160037994385,,,
72,504,,,,,4.914358615875244,,
72,509,,,,,4.024839878082275,,
72,510,,,,,,24.844324111938477,4.984407901763916
72,510,,,18.189937591552734,4.165154457092285,,,
73,514,,,,,5.177126407623291,,
73,517,,,,,,24.85541343688965,4.985520362854004
73,517,,,18.159793853759766,4.190577983856201,,,
74,519,,,,,3.921229124069214,,
74,524,,,,,3.598507881164551,,
74,524,,,,,,24.882844924926758,4.9882707595825195
74,524,,,18.162397384643555,4.242856502532959,,,
75,529,,,,,4.856805801391602,,
75,531,,,,,,24.712158203125,4.971132278442383
75,531,,,18.087343215942383,4.215038299560547,,,
76,534,,,,,4.503487586975098,,
76,538,,,,,,24.733840942382812,4.973312854766846
76,538,,,18.08218002319336,4.231851577758789,,,
77,539,,,,,4.863205432891846,,
77,544,,,,,4.157321453094482,,
77,545,,,,,,24.7532958984375,4.975268363952637
77,545,,,18.09511947631836,4.227102279663086,,,
78,549,,,,,4.166024208068848,,
78,552,,,,,,24.711729049682617,4.9710893630981445
78,552,,,18.12847900390625,4.2350335121154785,,,
79,554,,,,,4.342504024505615,,
79,559,,,,,2.9683380126953125,,
79,559,,,,,,24.6263370513916,4.962492942810059
79,559,,,18.06511116027832,4.210208415985107,,,
80,564,,,,,3.996271848678589,,
80,566,,,,,,24.510793685913086,4.9508376121521
80,566,,,17.987895965576172,4.206315994262695,,,
81,569,,,,,4.796168804168701,,
81,573,,,,,,24.28623390197754,4.928106307983398
81,573,,,17.943815231323242,4.196439743041992,,,
82,574,,,,,3.829101085662842,,
82,579,,,,,4.342188835144043,,
82,580,,,,,,24.213294982910156,4.920700550079346
82,580,,,17.95599937438965,4.211203575134277,,,
83,584,,,,,4.486364841461182,,
83,587,,,,,,24.247846603393555,4.924210071563721
83,587,,,17.896303176879883,4.204650402069092,,,
84,589,,,,,4.2949419021606445,,
84,594,,,,,4.782811641693115,,
84,594,,,,,,24.256017684936523,4.925039768218994
84,594,,,17.848142623901367,4.206589698791504,,,
85,599,,,,,4.680388927459717,,
85,601,,,,,,24.17009735107422,4.916309356689453
85,601,,,17.843856811523438,4.196369171142578,,,
86,604,,,,,4.278873920440674,,
86,608,,,,,,24.226669311523438,4.922059535980225
86,608,,,17.841510772705078,4.18769645690918,,,
87,609,,,,,4.7381157875061035,,
87,614,,,,,3.812455415725708,,
87,615,,,,,,24.610267639160156,4.960873603820801
87,615,,,17.816068649291992,4.184780120849609,,,
88,619,,,,,4.6274213790893555,,
88,622,,,,,,24.734838485717773,4.973412990570068
88,622,,,17.935108184814453,4.209762096405029,,,
89,624,,,,,4.598691940307617,,
89,629,,,,,8.61446762084961,,
89,629,,,,,,24.625228881835938,4.962381362915039
89,629,,,17.91042137145996,4.18665075302124,,,
90,634,,,,,5.187111854553223,,
90,636,,,,,,24.448829650878906,4.944575786590576
90,636,,,17.827375411987305,4.181504726409912,,,
91,639,,,,,3.2895619869232178,,
91,643,,,,,,24.327157974243164,4.932256698608398
91,643,,,17.73599624633789,4.1636834144592285,,,
92,644,,,,,4.5848870277404785,,
92,649,,,,,4.263928413391113,,
92,650,,,,,,24.28369140625,4.9278483390808105
92,650,,,17.699085235595703,4.181695461273193,,,
93,654,,,,,4.3518385887146,,
93,657,,,,,,24.275787353515625,4.927046298980713
93,657,,,17.76804542541504,4.161314487457275,,,
94,659,,,,,3.889094352722168,,
94,664,,,,,2.983572006225586,,
94,664,,,,,,24.23284339904785,4.922686576843262
94,664,,,17.76385498046875,4.186208248138428,,,
95,669,,,,,3.787518262863159,,
95,671,,,,,,24.266929626464844,4.9261474609375
95,671,,,17.683639526367188,4.19300651550293,,,
96,674,,,,,4.479739665985107,,
96,678,,,,,,24.375925064086914,4.937198162078857
96,678,,,17.64060401916504,4.176580905914307,,,
97,679,,,,,4.2432332038879395,,
97,684,,,,,4.235471248626709,,
97,685,,,,,,24.388540267944336,4.938475608825684
97,685,,,17.643522262573242,4.18154239654541,,,
98,689,,,,,3.7991998195648193,,
98,692,,,,,,24.3829288482666,4.9379072189331055
98,692,,,17.643098831176758,4.184841632843018,,,
99,694,,,,,3.7275047302246094,,
99,699,,,,,14.449236869812012,,
99,699,,,,,,24.360288619995117,4.935614109039307
99,699,,,17.636714935302734,4.10425329208374,,,
100,700,22.26457977294922,4.718535900115967,,,,,
