epoch,step,test_loss,test_rmse,train_loss,train_rmse_epoch,train_rmse_step,valid_loss,valid_rmse
0,1,,,,,,53.058528900146484,7.284128665924072
0,1,,,,,,36.2289924621582,6.019052505493164
0,1,,,19.45295524597168,4.410262584686279,,,
1,3,,,,,,25.42210578918457,5.042033672332764
1,3,,,14.202702522277832,3.730461835861206,,,
2,4,,,,,3.1533706188201904,,
2,5,,,,,,19.86867332458496,4.457428932189941
2,5,,,11.776113510131836,3.4193918704986572,,,
3,7,,,,,,23.730310440063477,4.8713765144348145
3,7,,,11.33151626586914,3.3658833503723145,,,
4,9,,,,,3.26247501373291,,
4,9,,,,,,19.704238891601562,4.438945770263672
4,9,,,11.449838638305664,3.3819797039031982,,,
5,11,,,,,,18.5956974029541,4.312273025512695
5,11,,,10.807021141052246,3.2820494174957275,,,
6,13,,,,,,19.344635009765625,4.398253440856934
6,13,,,10.7957181930542,3.280834674835205,,,
7,14,,,,,3.3337321281433105,,
7,15,,,,,,17.511266708374023,4.1846466064453125
7,15,,,10.540369033813477,3.2451610565185547,,,
8,17,,,,,,20.135894775390625,4.487303733825684
8,17,,,10.454188346862793,3.2269287109375,,,
9,19,,,,,3.4933629035949707,,
9,19,,,,,,16.163888931274414,4.0204339027404785
9,19,,,10.395795822143555,3.2140254974365234,,,
10,21,,,,,,18.7222900390625,4.326926231384277
10,21,,,10.17835521697998,3.190319299697876,,,
11,23,,,,,,19.579301834106445,4.4248504638671875
11,23,,,10.137539863586426,3.1070566177368164,,,
12,24,,,,,3.616307497024536,,
12,25,,,,,,21.025691986083984,4.585378170013428
12,25,,,10.163633346557617,3.1468045711517334,,,
13,27,,,,,,17.715667724609375,4.208998203277588
13,27,,,10.1082181930542,3.17927885055542,,,
14,29,,,,,3.5411458015441895,,
14,29,,,,,,17.273027420043945,4.156083106994629
14,29,,,9.837939262390137,3.1116371154785156,,,
15,31,,,,,,20.41415786743164,4.518202781677246
15,31,,,9.811260223388672,3.11582612991333,,,
16,33,,,,,,16.226999282836914,4.028275012969971
16,33,,,9.676563262939453,3.10526704788208,,,
17,34,,,,,3.219514846801758,,
17,35,,,,,,24.979528427124023,4.997952461242676
17,35,,,9.229476928710938,3.0310704708099365,,,
18,37,,,,,,17.622791290283203,4.197950839996338
18,37,,,10.996166229248047,3.3040850162506104,,,
19,39,,,,,3.5985121726989746,,
19,39,,,,,,16.383453369140625,4.047647953033447
19,39,,,9.603163719177246,3.0590174198150635,,,
20,40,23.268959045410156,4.823791027069092,,,,,
